DSID,DSName,VelID,VelName,Vs30,Z_max,Lat,Lon,X,Y,UTMzone
3,VSPDB,28,Antioch_Toll_Bridge 2162,478.6434328950211,99.5,38.042,-121.752,609.5106492429122,4211.210055903241,10S
3,VSPDB,29,BBTP 2165,160.5726399456119,10.36,37.823,-122.319,559.933753507126,4186.3952205050855,10S
3,VSPDB,30,BBTP 2167,197.9708066435808,13.0,37.823,-122.319,559.933753507126,4186.3952205050855,10S
3,VSPDB,31,Bacon_Island 2168,712.366078743739,147.6,37.958,-121.533,628.8755647958212,4202.169978965528,10S
3,VSPDB,32,Berkeley_Downhole_Project_St_Mary_College 2172,575.7436858166116,147.4,37.839,-122.11,578.3109319578173,4188.325105990411,10S
3,VSPDB,33,Bethany_Dam 2174,1751.672104322827,124.09,37.782,-121.614,622.0494354873306,4182.5324254909465,10S
3,VSPDB,34,Bethany_Dam 2176,1636.6950627610831,121.97,37.782,-121.614,622.0494354873306,4182.5324254909465,10S
3,VSPDB,35,Burrell_Field_and_Sports_Complex 1362,685.437597022288,58.0,37.709,-122.163,573.7764631888803,4173.858384334224,10S
3,VSPDB,36,Cedar_Grove_Elementary_School 1363,883.0800083883088,100.0,37.332,-121.793,606.9274943706816,4132.3863103807535,10S
3,VSPDB,37,Clifton_Court 2186,333.7131129574148,301.8,37.827,-121.56,626.7279180830205,4187.597363347114,10S
3,VSPDB,38,Clifton_Court 2188,395.8409902685427,298.8,37.827,-121.56,626.7279180830205,4187.597363347114,10S
3,VSPDB,39,Coyote_Creek 17,267.0,184.5,37.337,-121.87,600.0992247735364,4132.85665716419,10S
3,VSPDB,40,Hamilton_Air_Force_Base 91,107.58734665338899,25.4,38.06,-122.495,544.3016412257115,4212.592540400386,10S
3,VSPDB,41,High_Street_Overcrossing 2211,265.16591942662825,57.4,37.768,-122.22,568.6976308437731,4180.3610516022345,10S
3,VSPDB,42,Lawrence_Expressway 2229,250.9119021500193,55.5,37.391,-121.996,588.8736770839506,4138.721582256461,10S
3,VSPDB,43,Montezuma_Slough 2245,266.4033618234521,50.9,38.092,-121.885,597.77308611842,4216.609647226481,10S
3,VSPDB,44,Montezuma_Slough 2249,49.506473623896966,37.6,38.092,-121.885,597.77308611842,4216.609647226481,10S
3,VSPDB,45,Montezuma_Slough 2250,222.97694236025902,37.6,38.092,-121.885,597.77308611842,4216.609647226481,10S
3,VSPDB,46,North_San_Joaquin_Middle_River_Barrier 2307,333.57721161328874,74.0,37.886,-121.482,633.4862721899034,4194.252648803621,10S
3,VSPDB,47,North_San_Joaquin_Middle_River_Barrier 2308,380.0776789524422,94.0,37.885,-121.482,633.4880778883041,4194.141689222081,10S
3,VSPDB,48,POO 2325,179.99922920004877,10.36,37.805,-122.338,558.2757218359952,4184.386094571674,10S
3,VSPDB,49,POO 2327,191.06223622466786,12.5,37.804,-122.34,558.1004437380655,4184.273899234039,10S
3,VSPDB,50,POR 2332,123.56910535081778,10.0,37.91,-122.359,556.34708749203,4196.0230760214445,10S
3,VSPDB,51,POR 2334,210.49387885027224,10.0,37.91,-122.359,556.34708749203,4196.0230760214445,10S
3,VSPDB,52,POR 2336,200.11931037749864,9.5,37.91,-122.359,556.34708749203,4196.0230760214445,10S
3,VSPDB,53,POR 2339,1518.6956433191922,10.97,37.913,-122.358,556.4327016122193,4196.3565371596405,10S
